Iteration,SMOTE,Model,Metric,Score,Rank
4,False,Stochastic Gradient Descent,recall_macro,0.6403140300163012,46.0
3,True,Random Forest,recall_macro,0.6401054318361679,47.0
1,False,XGBoost,recall_macro,0.6400702622309453,48.0
3,True,Gaussian Naive Bayes,recall_macro,0.6400312017631804,49.0
2,True,Logistic Regression,recall_macro,0.6400157004759071,50.0
1,True,AdaBoost,recall_macro,0.6399654874499018,51.0
4,True,AdaBoost,recall_macro,0.6398382584951112,52.0
1,False,MLP Classifier,recall_macro,0.6398350784953611,53.0
1,True,Random Forest,recall_macro,0.6398166874132547,54.0
2,True,Gradient Boosting,recall_macro,0.6397908855781838,55.0
2,False,XGBoost,recall_macro,0.6397586740578572,56.0
4,False,Logistic Regression,recall_macro,0.6397432907464025,57.0
1,False,Random Forest,recall_macro,0.6397099059292686,58.0
2,True,K-Nearest Neighbors,recall_macro,0.6395169129754439,59.0
4,False,Support Vector Machine,recall_macro,0.6393797047592202,60.0
2,False,Random Forest,recall_macro,0.6392749299781768,61.0
4,False,K-Nearest Neighbors,recall_macro,0.6392631162428994,62.0
2,True,Support Vector Machine,recall_macro,0.639255705489935,63.0
4,True,Support Vector Machine,recall_macro,0.6392261121638327,64.0
1,True,Support Vector Machine,recall_macro,0.6391613492325077,65.0
1,False,AdaBoost,recall_macro,0.6389649543640792,66.0
1,True,MLP Classifier,recall_macro,0.6389229358114181,67.0
1,False,Gaussian Naive Bayes,recall_macro,0.638876174385772,68.0
1,True,K-Nearest Neighbors,recall_macro,0.6388737781064019,69.0
2,True,AdaBoost,recall_macro,0.638854775533014,70.0
4,False,Gaussian Naive Bayes,recall_macro,0.6387589743781699,71.0
4,True,Logistic Regression,recall_macro,0.638619931688102,72.0
1,True,Gradient Boosting,recall_macro,0.6384214121409126,73.0
4,True,XGBoost,recall_macro,0.638398006585212,74.0
4,False,AdaBoost,recall_macro,0.6383947768997065,75.0
3,True,XGBoost,recall_macro,0.6381962076667616,76.0
4,True,Gradient Boosting,recall_macro,0.6380997950206362,77.0
4,True,MLP Classifier,recall_macro,0.6380338091067483,78.0
4,False,XGBoost,recall_macro,0.6379844294868783,79.0
2,True,Random Forest,recall_macro,0.6379518283901242,80.0
4,False,Decision Tree,recall_macro,0.6378874053494714,81.0
2,False,Decision Tree,recall_macro,0.6377536487336071,82.0
4,True,K-Nearest Neighbors,recall_macro,0.637725228704312,83.0
2,True,MLP Classifier,recall_macro,0.63765422831683,84.0
4,False,Gradient Boosting,recall_macro,0.6375382512917906,85.0
1,True,Gaussian Naive Bayes,recall_macro,0.6374752731485545,86.0
4,False,MLP Classifier,recall_macro,0.6368557160643116,87.0
0,True,Gradient Boosting,recall_macro,0.6367344529650687,88.0
0,True,Gaussian Naive Bayes,recall_macro,0.6365320922410924,89.0
4,True,Gaussian Naive Bayes,recall_macro,0.636420518198366,90.0
0,True,Support Vector Machine,recall_macro,0.6360832958517808,91.0
0,False,MLP Classifier,recall_macro,0.6359901128911609,92.0
0,True,K-Nearest Neighbors,recall_macro,0.6358229217724072,93.0
0,True,MLP Classifier,recall_macro,0.635720543270734,94.0
0,False,Gaussian Naive Bayes,recall_macro,0.6355395317137604,95.0
0,True,Stochastic Gradient Descent,recall_macro,0.6355347391550199,96.0
0,True,AdaBoost,recall_macro,0.63540839329212,97.0
0,True,Decision Tree,recall_macro,0.6353897802951597,98.0
0,False,Support Vector Machine,recall_macro,0.634710474753186,99.0
0,True,Logistic Regression,recall_macro,0.634365230162355,100.0
0,False,Random Forest,recall_macro,0.6340572612512001,101.0
0,False,Logistic Regression,recall_macro,0.6336986897376122,102.0
0,False,Gradient Boosting,recall_macro,0.6334581516377618,103.0
0,False,Decision Tree,recall_macro,0.6332791467837308,104.0
0,False,Stochastic Gradient Descent,recall_macro,0.6332501649489097,105.0
0,True,Random Forest,recall_macro,0.6332143341666503,106.0
0,False,XGBoost,recall_macro,0.6329655519077002,107.0
0,True,XGBoost,recall_macro,0.6326873982375014,108.0
0,False,AdaBoost,recall_macro,0.6322655769800682,109.0
